ID,Customer Name,Current,1 To 31,31 To 61,61 To 92,Over 92,Balance
C005855,PAYMENTOLOGY (PTY) LTD,4412352.05,1093081.44,0.0,0.0,0.0,5505433.49
PRI002,Primedia Broadcasting A division of Primedia (Pty),246037.22,246037.22,246037.22,246037.22,490488.09,1474636.97
C001221,E-TV (Pty) Ltd,419322.83,47261.56,47261.56,47261.56,654429.29,1215536.8
FIR005,FirstRand Bank Limited,483005.58,483005.58,0.0,0.0,0.0,966011.16
TUR001,Turrito Networks (Pty) Ltd     (R),841171.13,6440.66,28622.76,26355.7,0.0,902590.25
C006496,JOHANNESBURG CITY PARKS AND ZOO,219743.71,219743.71,219743.71,219743.71,9391.65,888366.49
C001200,PLUS1X SOLUTIONS (PTY) LTD,80954.72,26084.77,19754.82,23498.3,582504.26,732796.87
XON001,NEC XON SYSTEMS PROPRIETARY LIMITED,43346.38,43346.38,43346.38,43346.38,554493.24,727878.76
C005719,FIBRE COMPARE,220892.53,213240.58,223178.87,15678.37,0.0,672990.35
ECH001,Echotel (Pty) Ltd. t/a Echo Service Provider (R),221495.08,141850.65,209278.13,84815.49,0.0,657439.35
C000525,Maximize Office Solutions (Pty) Ltd T/A Maximize South Afric,324091.83,320030.52,0.0,,0.0,643087.69
C004095,SOUTH32 SA Limited,433453.18,223390.95,0.0,0.0,,636391.51
C000007,Foschini Retail Group (Pty) Ltd,0.0,460394.39,0.0,53511.44,89625.66,603531.49
C006601,Shoprite Checkers (Pty) Ltd,237724.55,132374.04,228035.43,0.0,0.0,598134.02
SIF001,Si Futures (Pty) Ltd,251555.91,254172.5,20917.03,,71594.51,592662.45
CEN002,Pindrop (Pty) Ltd,163196.27,1838.97,3276.47,,529425.34,582867.68
OPE002,Open Communications (Pty) Ltd,578263.39,,0.0,0.0,4977.4,580189.75
C000802,Tluka Business Enterprise CC T/A Tluka Communications Technology,56963.04,56963.04,56963.04,0.0,404788.72,575677.84
C006166,ADNOTES (PTY) LTD,75776.95,75776.95,75776.95,75776.95,263933.76,567041.56
C006363,GAHLE WIRELESS INTERNET (PTY) LTD,65725.49,0.0,0.0,65725.49,432580.44,564031.42
C005899,GDE SCIENCE EDUCATION CENTRE T/A SCI-BONO DISCOVERY CENTRE,7603.23,11404.84,26619.63,26619.63,478807.27,551054.6
SEV001,SevenC Computing (Pty) Ltd,276788.99,266951.6,0.0,0.0,0.0,543740.59
C000441,Dream ICT Services (Pty) Ltd,20072.22,20072.22,8093.82,13882.92,441092.54,503213.72
ACT001,Activate Telecoms (Pty) Ltd      (R),85098.23,87116.38,87206.0,87206.0,120136.38,466762.99
C005368,LIGHT BRIDGE INTERNET (PTY) LTD,50733.19,36383.7,36383.7,58564.9,281324.05,463389.54
SUP002,Supima Computers t/a Supima Technologies  (R),126760.05,126760.05,126760.05,0.0,63790.36,444070.51
ALE001,Alexander Forbes Group Services (Pty) Ltd,85302.06,14948.85,85302.06,0.0,233381.62,418934.59
PRE001,Premier FMCG (Pty) Ltd,379374.23,0.0,0.0,0.0,0.0,379374.23
VAL001,HEROTEL BUSINESS,351939.55,0.0,0.0,0.0,0.0,351939.55
C005851,MASSTORES (PTY) LTD T/A MASSMART SERVICES,175174.99,175174.99,0.0,0.0,0.0,350349.98
C000846,Nestle South Africa (Pty) Ltd,90933.95,90933.95,0.0,0.0,158997.29,340865.19
C000646,Southern Sun Hotel Interests (Pty) Ltd,180584.63,152907.91,,0.0,,330886.25
NET004,NETEXEC IT SERVICES (PTY) LTD,24691.04,25805.75,24571.54,24571.54,214971.2,314611.07
C000233,FirstRand Services Private Ltd (India).,191367.53,84291.08,0.0,0.0,10969.96,286628.57
C000462,HomeChoice (Pty) Ltd,131986.35,131986.35,0.0,0.0,8360.46,272333.16
C000693,Saficon Industrial Equipment (Pty) Ltd,21731.55,21731.55,0.0,0.0,228762.72,272225.82
C006184,EPWORTH MINERALS (PTY) LTD,0.0,86243.1,14373.85,14373.85,157192.16,272182.96
CRY001,CRYSTAL COMMUNICATIONS,217349.37,,12972.72,,52278.3,272159.92
C006466,MULTICHOICE SUPPORT SERVICES (PTY) LTD,265132.5,0.0,0.0,0.0,0.0,265132.5
CON004,Telviva (Pty) Ltd,562105.51,,,,51184.95,262686.28
C006206,WEBHELP SA OUTSOURCING (PTY) LTD,175936.2,86243.1,0.0,0.0,0.0,262179.3
ECO001,ECOTECH Converge (Pty) Ltd (R),124867.4,0.0,0.0,0.0,136801.22,261668.62
MET0001,Metro Fibre Networx (Pty) Limited,222611.25,33718.0,0.0,0.0,0.0,256329.25
C001060,Zinia ISP (Pty) Ltd,84313.4,84313.4,105039.37,,0.0,256171.33
C004809,EXPERIAN SOUTH AFRICA (PROPRIETARY) LIMITED,202712.95,61999.95,,0.0,0.0,255842.95
PSA048,Dynacomm Networks,0.0,142773.19,0.0,0.0,112730.21,255503.4
C000254,Educor (Pty) Ltd,42086.55,0.0,0.0,42086.55,168346.2,252519.3
C005852,Ericsson sub-saharan Africa (PTY) Ltd (ESA),13107.7,13107.7,0.0,13107.7,198428.84,237751.94
C005547,ICLOUDTIVITY (PTY) LTD,129679.39,50739.32,50739.32,6104.24,,236090.72
